	ligand_pubchem_sid	ligand_pubchem_cid	ligand name	ligand_type	Receptor_id	Receptor_uniprot	Receptor_location	Type	target_species	pubmed_id	Other.DB	LRID	pipe_genesymbol
176	135651533	5283454.0	N-oleoylethanolamide	Metabolite	139760	Q8TDV5	Membrane	sMOL-receptor interaction	Human	16517404;19901198;23396314	IUPHAR	LR08363	GPR119
177	135651563	5283560.0	sphingosine 1-phosphate	Metabolite	2835	P47775	Membrane	sMOL-receptor interaction	Human	12220620	IUPHAR	LR08364	GPR12
178	178102204	5312830.0	9-hydroxyoctadecadienoic acid	Metabolite	29933	Q9UNW8	Membrane	sMOL-receptor interaction	Human	16236715	IUPHAR	LR08365	GPR132
179	178100347	6140.0	L-phenylalanine	Metabolite	124274	Q6DWJ6	Membrane	sMOL-receptor interaction	Human	24826842	IUPHAR	LR08366	GPR139
180	135651515	6305.0	L-tryptophan	Metabolite	124274	Q6DWJ6	Membrane	sMOL-receptor interaction	Human	26349500	IUPHAR	LR08368	GPR139
181	178100545	6047.0	levodopa	Metabolite	4935	P51810	Membrane	sMOL-receptor interaction	Human	18828673	IUPHAR	LR08370	GPR143
182	178100887	42607474.0	lysophosphatidylserine	Metabolite	84636	Q9BXC1	Membrane	sMOL-receptor interaction	Human	22983457	IUPHAR	LR08371	GPR174
183	135651446	5957.0	ATP	Metabolite	2840	Q13304	Membrane	sMOL-receptor interaction	Human	21773766	IUPHAR	LR08372	GPR17
184	135651512	5280493.0	LTC4	Metabolite	2840	Q13304	Membrane	sMOL-receptor interaction	Human	16990797	IUPHAR	LR08373	GPR17
185	135651513	6435286.0	LTD4	Metabolite	2840	Q13304	Membrane	sMOL-receptor interaction	Human	16990797	IUPHAR	LR08374	GPR17
186	135651585	18068.0	UDP-galactose	Metabolite	2840	Q13304	Membrane	sMOL-receptor interaction	Human	20148890;16990797	IUPHAR	LR08375	GPR17
187	135651586	8629.0	UDP-glucose	Metabolite	2840	Q13304	Membrane	sMOL-receptor interaction	Human	20148890;16990797	IUPHAR	LR08376	GPR17
188	135651583	6031.0	uridine diphosphate	Metabolite	2840	Q13304	Membrane	sMOL-receptor interaction	Human	20148890;16990797	IUPHAR	LR08377	GPR17
189	135651392	65094.0	25-hydroxycholesterol	Metabolite	1880	P32249	Membrane	sMOL-receptor interaction	Human	21796211	IUPHAR	LR08378	GPR183
190	135651393	123976.0	27-hydroxycholesterol	Metabolite	1880	P32249	Membrane	sMOL-receptor interaction	Human	21796211	IUPHAR	LR08379	GPR183
191	178101170	15907756.0	7alpha,27-dihydroxycholesterol	Metabolite	1880	P32249	Membrane	sMOL-receptor interaction	Human	21796211	IUPHAR	LR08380	GPR183
192	178101168	107722.0	7alpha-hydroxycholesterol	Metabolite	1880	P32249	Membrane	sMOL-receptor interaction	Human	21796211	IUPHAR	LR08381	GPR183
193	178101172	473142.0	7beta,25-dihydroxycholesterol	Metabolite	1880	P32249	Membrane	sMOL-receptor interaction	Human	21796211	IUPHAR	LR08382	GPR183
194	178101171	52931518.0	7beta,27-dihydroxycholesterol	Metabolite	1880	P32249	Membrane	sMOL-receptor interaction	Human	21796211	IUPHAR	LR08383	GPR183
195	178101169	473141.0	7beta-hydroxycholesterol	Metabolite	1880	P32249	Membrane	sMOL-receptor interaction	Human	21796211	IUPHAR	LR08384	GPR183
196	178101167	11954197.0	7alpha,25-dihydroxycholesterol	Metabolite	1880	P32249	Membrane	sMOL-receptor interaction	Human	21796211;21796212	IUPHAR	LR08385	GPR183
197	178100542	5283389.0	N-arachidonoylglycine	Metabolite	2841	Q14330	Membrane	sMOL-receptor interaction	Human	16844083	IUPHAR	LR08386	GPR18
198	135651504	5280914.0	LXA4	Metabolite	2854	O75388	Membrane	sMOL-receptor interaction	Human	20080636	IUPHAR	LR08388	GPR32
199	178100762	73755062.0	resolvin D1	Metabolite	2854	O75388	Membrane	sMOL-receptor interaction	Human	20080636	IUPHAR	LR08389	GPR32
200	178100887	42607474.0	lysophosphatidylserine	Metabolite	2857	Q9UPC5	Membrane	sMOL-receptor interaction	Human	16460680;22343749	IUPHAR	LR08390	GPR34
201	135649710	56947016.0	2-oleoyl-LPA	Synthetic organic	2859	Q9HC97	Membrane	sMOL-receptor interaction	Human	20361937	IUPHAR	LR08391	GPR35
202	135651497	3845.0	kynurenic acid	Metabolite	2859	Q9HC97	Membrane	sMOL-receptor interaction	Human	16754668;23396314	IUPHAR	LR08392	GPR35
203	135652747		Zn2+	Inorganic	2863	O43194	Membrane	sMOL-receptor interaction	Human	16959833	IUPHAR	LR08393	GPR39
204	135651563	5283560.0	sphingosine 1-phosphate	Metabolite	2827	P46089	Membrane	sMOL-receptor interaction	Human	12220620	IUPHAR	LR08394	GPR3
205	135651394	5282280.0	2-arachidonoylglycerol	Metabolite	9290	Q9Y2T6	Membrane	sMOL-receptor interaction	Human	17876302	IUPHAR	LR08395	GPR55
206	135651438	5281969.0	anandamide	Metabolite	9290	Q9Y2T6	Membrane	sMOL-receptor interaction	Human	17876302	IUPHAR	LR08396	GPR55
207	178100854	73755067.0	lysophosphatidylinositol	Metabolite	9290	Q9Y2T6	Membrane	sMOL-receptor interaction	Human	17765871;20136841;23396314	IUPHAR	LR08397	GPR55
208	178100539	4671.0	N-palmitoylethanolamine	Metabolite	9290	Q9Y2T6	Membrane	sMOL-receptor interaction	Human	17876302	IUPHAR	LR08398	GPR55
209	178100855	73755068.0	2-arachidonoylglycerolphosphoinositol	Metabolite	9290	Q9Y2T6	Membrane	sMOL-receptor interaction	Human	18845565	IUPHAR	LR08399	GPR55
210	135650184	644260.0	dihydrosphingosine 1-phosphate	Synthetic organic	81491	Q9BZJ6	Membrane	sMOL-receptor interaction	Human	12618218	IUPHAR	LR08400	GPR63
211	178102157	9547172.0	dioleoylphosphatidic acid	Metabolite	81491	Q9BZJ6	Membrane	sMOL-receptor interaction	Human	12618218	IUPHAR	LR08401	GPR63
212	135651563	5283560.0	sphingosine 1-phosphate	Metabolite	81491	Q9BZJ6	Membrane	sMOL-receptor interaction	Human	12618218	IUPHAR	LR08402	GPR63
213	135651509	5497152.0	LPA	Metabolite	53836	Q9BY21	Membrane	sMOL-receptor interaction	Human	17905198;18466763	IUPHAR	LR08403	GPR87
214	135651448	239.0	beta-alanine	Metabolite	116512	Q8TDS7	Membrane	sMOL-receptor interaction	Human	15037633;23396314	IUPHAR	LR08404	MRGPRD
215	135651509	5497152.0	LPA	Metabolite	27334	O00398	Membrane	sMOL-receptor interaction	Human	18466763	IUPHAR	LR08405	P2RY10
216	135651563	5283560.0	sphingosine 1-phosphate	Metabolite	27334	O00398	Membrane	sMOL-receptor interaction	Human	18466763	IUPHAR	LR08406	P2RY10
217	135651541	5282411.0	PGI2	Metabolite	5739	P43119	Membrane	sMOL-receptor interaction	Human	372237	IUPHAR	LR08407	PTGIR
218	135650814	5280723.0	PGE1	Natural product	5739	P43119	Membrane	sMOL-receptor interaction	Human	11454473;17704830	IUPHAR	LR08408	PTGIR
219	135651442	444899.0	arachidonic acid	Metabolite	54207	P57789	Membrane	sMOL-receptor interaction	Human	10880510	IUPHAR	LR08409	KCNK10
220	135651442	444899.0	arachidonic acid	Metabolite	338567	Q7Z418	Membrane	sMOL-receptor interaction	Human	12754259	IUPHAR	LR08410	KCNK18
221	135651442	444899.0	arachidonic acid	Metabolite	3776	O95069	Membrane	sMOL-receptor interaction	Human	9687497	IUPHAR	LR08411	KCNK2
222	135651442	444899.0	arachidonic acid	Metabolite	50801	Q9NYG8	Membrane	sMOL-receptor interaction	Human	9628867	IUPHAR	LR08412	KCNK4
223	135652731		Ca2+	Inorganic	3780	Q92952	Membrane	sMOL-receptor interaction	Human	8781233;9774106	IUPHAR	LR08413	KCNN1
224	135652731		Ca2+	Inorganic	3781	Q9H2S1	Membrane	sMOL-receptor interaction	Human	9774106;16239218;10991935	IUPHAR	LR08414	KCNN2
225	135652741		Mg2+	Inorganic	3768	Q14500	Membrane	sMOL-receptor interaction	Human	8735700	IUPHAR	LR08415	KCNJ12
226	135651442	444899.0	arachidonic acid	Metabolite	3761	P48050	Membrane	sMOL-receptor interaction	Human	11306688	IUPHAR	LR08416	KCNJ4
227	135652741		Mg2+	Inorganic	3761	P48050	Membrane	sMOL-receptor interaction	Human	7969496	IUPHAR	LR08417	KCNJ4
228	135651553	1045.0	putrescine	Metabolite	3761	P48050	Membrane	sMOL-receptor interaction	Human	7969496	IUPHAR	LR08418	KCNJ4
229	135651561	1102.0	spermidine	Metabolite	3761	P48050	Membrane	sMOL-receptor interaction	Human	7969496	IUPHAR	LR08419	KCNJ4
230	135651562	1103.0	spermine	Metabolite	3761	P48050	Membrane	sMOL-receptor interaction	Human	7969496	IUPHAR	LR08420	KCNJ4
231	135652738		H+	Inorganic	3761	P48050	Membrane	sMOL-receptor interaction	Human	10200419;10896660	IUPHAR	LR08421	KCNJ4
232	135652738		H+	Inorganic	3770	Q9UNX9	Membrane	sMOL-receptor interaction	Human	10942728	IUPHAR	LR08423	KCNJ14
233	135652743		Na+	Inorganic	3760	P48549	Membrane	sMOL-receptor interaction	Human	10085101	IUPHAR	LR08424	KCNJ3
234	135652743		Na+	Inorganic	3763	P48051	Membrane	sMOL-receptor interaction	Human	10085101	IUPHAR	LR08425	KCNJ6
235	135651544	5311358.0	PIP2	Metabolite	3765	Q92806	Membrane	sMOL-receptor interaction	Human	8688080	IUPHAR	LR08426	KCNJ9
236	135652743		Na+	Inorganic	3762	P48544	Membrane	sMOL-receptor interaction	Human	8923264	IUPHAR	LR08427	KCNJ5
237	135651544	5311358.0	PIP2	Metabolite	3762	P48544	Membrane	sMOL-receptor interaction	Human	8688080;9804555	IUPHAR	LR08428	KCNJ5
238	135651544	5311358.0	PIP2	Metabolite	3785	O43526	Membrane	sMOL-receptor interaction	Human	16251430	IUPHAR	LR08429	KCNQ2
239	135651544	5311358.0	PIP2	Metabolite	9132	P56696	Membrane	sMOL-receptor interaction	Human	16251430	IUPHAR	LR08430	KCNQ4
240	135651487	11132720.0	farnesyl diphosphate	Metabolite	9170	Q9HBW0	Membrane	sMOL-receptor interaction	Human	19366702	IUPHAR	LR08431	LPAR2
241	135651509	5497152.0	LPA	Metabolite	9170	Q9HBW0	Membrane	sMOL-receptor interaction	Human	10727522;15177455	IUPHAR	LR08432	LPAR2
242	135651509	5497152.0	LPA	Metabolite	23566	Q9UBY5	Membrane	sMOL-receptor interaction	Human	10488122	IUPHAR	LR08433	LPAR3
243	135651487	11132720.0	farnesyl diphosphate	Metabolite	23566	Q9UBY5	Membrane	sMOL-receptor interaction	Human	19366702	IUPHAR	LR08434	LPAR3
244	135651488	6440220.0	farnesyl monophosphate	Metabolite	23566	Q9UBY5	Membrane	sMOL-receptor interaction	Human	17092771	IUPHAR	LR08436	LPAR3
245	135651509	5497152.0	LPA	Metabolite	2846	Q99677	Membrane	sMOL-receptor interaction	Human	12724320	IUPHAR	LR08438	LPAR4
246	135651487	11132720.0	farnesyl diphosphate	Metabolite	2846	Q99677	Membrane	sMOL-receptor interaction	Human	19366702	IUPHAR	LR08439	LPAR4
247	135651488	6440220.0	farnesyl monophosphate	Metabolite	57121	Q9H1C0	Membrane	sMOL-receptor interaction	Human	19366702	IUPHAR	LR08440	LPAR5
248	135651509	5497152.0	LPA	Metabolite	57121	Q9H1C0	Membrane	sMOL-receptor interaction	Human	18499677;20056548;23396314	IUPHAR	LR08441	LPAR5
249	135651487	11132720.0	farnesyl diphosphate	Metabolite	57121	Q9H1C0	Membrane	sMOL-receptor interaction	Human	19366702;18499677	IUPHAR	LR08443	LPAR5
250	178100542	5283389.0	N-arachidonoylglycine	Metabolite	57121	Q9H1C0	Membrane	sMOL-receptor interaction	Human	19366702;18499677	IUPHAR	LR08444	LPAR5
251	135651509	5497152.0	LPA	Metabolite	10161	P43657	Membrane	sMOL-receptor interaction	Human	19386608;18297070	IUPHAR	LR08445	LPAR6
252	135651501	33032.0	L-glutamic acid	Metabolite	2911	Q13255	Membrane	sMOL-receptor interaction	Human	10443583	IUPHAR	LR08446	GRM1
253	135651501	33032.0	L-glutamic acid	Metabolite	2912	Q14416	Membrane	sMOL-receptor interaction	Human	10443583	IUPHAR	LR08447	GRM2
254	135651501	33032.0	L-glutamic acid	Metabolite	2913	Q14832	Membrane	sMOL-receptor interaction	Human	10443583	IUPHAR	LR08449	GRM3
255	135651520	188803.0	NAAG	Metabolite	2913	Q14832	Membrane	sMOL-receptor interaction	Human	10884552	IUPHAR	LR08451	GRM3
256	135651501	33032.0	L-glutamic acid	Metabolite	2914	Q14833	Membrane	sMOL-receptor interaction	Human	10443583	IUPHAR	LR08452	GRM4
257	135651501	33032.0	L-glutamic acid	Metabolite	2915	P41594	Membrane	sMOL-receptor interaction	Human	10443583	IUPHAR	LR08453	GRM5
258	135651501	33032.0	L-glutamic acid	Metabolite	2916	O15303	Membrane	sMOL-receptor interaction	Human	10443583	IUPHAR	LR08454	GRM6
259	135651511	68841.0	L-serine-O-phosphate	Metabolite	2916	O15303	Membrane	sMOL-receptor interaction	Human	9144651	IUPHAR	LR08456	GRM6
260	135651501	33032.0	L-glutamic acid	Metabolite	2917	Q14831	Membrane	sMOL-receptor interaction	Human	11138847	IUPHAR	LR08458	GRM7
261	135651511	68841.0	L-serine-O-phosphate	Metabolite	2917	Q14831	Membrane	sMOL-receptor interaction	Human	11138847	IUPHAR	LR08459	GRM7
262	135651501	33032.0	L-glutamic acid	Metabolite	2918	O00222	Membrane	sMOL-receptor interaction	Human	10443583	IUPHAR	LR08460	GRM8
263	135651511	68841.0	L-serine-O-phosphate	Metabolite	2918	O00222	Membrane	sMOL-receptor interaction	Human	9473604;10216218	IUPHAR	LR08462	GRM8
264	135651424	187.0	acetylcholine	Metabolite	1128	P11229	Membrane	sMOL-receptor interaction	Human	7651370;9224827	IUPHAR	LR08463	CHRM1
265	135651424	187.0	acetylcholine	Metabolite	1129	P08172	Membrane	sMOL-receptor interaction	Human	7651370;12235229;9224827;9454790	IUPHAR	LR08464	CHRM2
266	135651424	187.0	acetylcholine	Metabolite	1131	P20309	Membrane	sMOL-receptor interaction	Human	7651370;12235229;9224827	IUPHAR	LR08465	CHRM3
267	135651424	187.0	acetylcholine	Metabolite	1132	P08173	Membrane	sMOL-receptor interaction	Human	7651370;12235229;9224827	IUPHAR	LR08466	CHRM4
268	135651424	187.0	acetylcholine	Metabolite	1133	P08912	Membrane	sMOL-receptor interaction	Human	12235229	IUPHAR	LR08467	CHRM5
269	135651518	896.0	melatonin	Metabolite	4543	P48039	Membrane	sMOL-receptor interaction	Human	12764576;9089668;2991499	IUPHAR	LR08468	MTNR1A
270	135651518	896.0	melatonin	Metabolite	4544	P49286	Membrane	sMOL-receptor interaction	Human	12764576;9089668;2991499	IUPHAR	LR08469	MTNR1B
271	135652148	5311080.0	endomorphin-1	Peptide	4988	P35372	Membrane	sMOL-receptor interaction	Human	9849897;9087409	IUPHAR	LR08470	OPRM1
272	135652324		neuropeptide-gamma	Peptide	6869	P25103	Membrane	sMOL-receptor interaction	Human	8702757	IUPHAR	LR08471	TACR1
273	178102788	6438757.0	5-oxo-15-HETE	Metabolite	165140	Q8TDS5	Membrane	sMOL-receptor interaction	Human	7803484;8387490;7797484;8598482	IUPHAR	LR08472	OXER1
274	178102790	73755178.0	5-oxo-20-HETE	Metabolite	165140	Q8TDS5	Membrane	sMOL-receptor interaction	Human	8598482	IUPHAR	LR08473	OXER1
275	135651414	56947094.0	5-oxo-C20:3	Metabolite	165140	Q8TDS5	Membrane	sMOL-receptor interaction	Human	18292294	IUPHAR	LR08474	OXER1
276	135651415	5283159.0	5-oxo-ETE	Metabolite	165140	Q8TDS5	Membrane	sMOL-receptor interaction	Human	7797484;19450703;18292294;9829988;1326548	IUPHAR	LR08475	OXER1
277	178102785	71751402.0	5-oxo-ODE	Metabolite	165140	Q8TDS5	Membrane	sMOL-receptor interaction	Human	18287092	IUPHAR	LR08476	OXER1
278	135651416	5280733.0	5S-HETE	Metabolite	165140	Q8TDS5	Membrane	sMOL-receptor interaction	Human	7803484;8387490;16039985	IUPHAR	LR08477	OXER1
279	53801093	5280778.0	5S-HPETE	Metabolite	165140	Q8TDS5	Membrane	sMOL-receptor interaction	Human	16039985	IUPHAR	LR08478	OXER1
280	178102792	10568747.0	5-oxo-12-HETE	Metabolite	165140	Q8TDS5	Membrane	sMOL-receptor interaction	Human	9920859	IUPHAR	LR08479	OXER1
281	178100543	51.0	alpha-ketoglutaric acid	Metabolite	27199	Q96P68	Membrane	sMOL-receptor interaction	Human	15141213;23396314	IUPHAR	LR08480	OXGR1
282	135651446	5957.0	ATP	Metabolite	5023	P51575	Membrane	sMOL-receptor interaction	Human	12213051	IUPHAR	LR08481	P2RX1
283	135651446	5957.0	ATP	Metabolite	5024	P56373	Membrane	sMOL-receptor interaction	Human	12213051	IUPHAR	LR08482	P2RX3
284	135651446	5957.0	ATP	Metabolite	5025	Q99571	Membrane	sMOL-receptor interaction	Human	12213051	IUPHAR	LR08483	P2RX4
285	135651446	5957.0	ATP	Metabolite	5027	Q99572	Membrane	sMOL-receptor interaction	Human	12213051	IUPHAR	LR08484	P2RX7
286	135651446	5957.0	ATP	Metabolite	5032	Q96G91	Membrane	sMOL-receptor interaction	Human	10578132;12761346;12213051	IUPHAR	LR08485	P2RY11
287	135651592	6133.0	uridine triphosphate	Metabolite	5032	Q96G91	Membrane	sMOL-receptor interaction	Human	12761346	IUPHAR	LR08486	P2RY11
288	135651427	6022.0	ADP	Metabolite	64805	Q9H244	Membrane	sMOL-receptor interaction	Human	15199474	IUPHAR	LR08487	P2RY12
289	135651427	6022.0	ADP	Metabolite	53829	Q9BPV8	Membrane	sMOL-receptor interaction	Human	12815166	IUPHAR	LR08488	P2RY13
290	135651446	5957.0	ATP	Metabolite	53829	Q9BPV8	Membrane	sMOL-receptor interaction	Human	12815166	IUPHAR	LR08489	P2RY13
291	135651585	18068.0	UDP-galactose	Metabolite	9934	Q15391	Membrane	sMOL-receptor interaction	Human	19339661	IUPHAR	LR08490	P2RY14
292	135651583	6031.0	uridine diphosphate	Metabolite	9934	Q15391	Membrane	sMOL-receptor interaction	Human	19759354	IUPHAR	LR08491	P2RY14
293	135651427	6022.0	ADP	Metabolite	5028	P47900	Membrane	sMOL-receptor interaction	Human	9154346;12391289	IUPHAR	LR08492	P2RY1
294	135651446	5957.0	ATP	Metabolite	5028	P47900	Membrane	sMOL-receptor interaction	Human	9154346;12391289	IUPHAR	LR08493	P2RY1
295	135651446	5957.0	ATP	Metabolite	5029	P41231	Membrane	sMOL-receptor interaction	Human	8564228;11754592;12213051	IUPHAR	LR08495	P2RY2
296	135651592	6133.0	uridine triphosphate	Metabolite	5029	P41231	Membrane	sMOL-receptor interaction	Human	8564228;11754592	IUPHAR	LR08496	P2RY2
297	135651446	5957.0	ATP	Metabolite	5030	P51582	Membrane	sMOL-receptor interaction	Human	21193033	IUPHAR	LR08497	P2RY4
298	135651592	6133.0	uridine triphosphate	Metabolite	5030	P51582	Membrane	sMOL-receptor interaction	Human	10779375	IUPHAR	LR08498	P2RY4
299	135651583	6031.0	uridine diphosphate	Metabolite	5031	Q15077	Membrane	sMOL-receptor interaction	Human	8670200	IUPHAR	LR08499	P2RY6
300	135651534	108156.0	PAF	Metabolite	5724	P25105	Membrane	sMOL-receptor interaction	Human	7594622	IUPHAR	LR08500	PTAFR
301	135651531	445639.0	oleic acid	Metabolite	5338	O14939	Membrane	sMOL-receptor interaction	Human	12374567	IUPHAR	LR08502	PLD2
302	135651544	5311358.0	PIP2	Metabolite	5338	O14939	Membrane	sMOL-receptor interaction	Human	9582313	IUPHAR	LR08503	PLD2
303	135651442	444899.0	arachidonic acid	Metabolite	5590	Q05513	Membrane	sMOL-receptor interaction	Human	7744003	IUPHAR	LR08504	PRKCZ
304	135652422		PTHrP-(1-34)	Peptide	5746	P49190	Membrane	sMOL-receptor interaction	Human	11602681	IUPHAR	LR08505	PTH2R
305	135651563	5283560.0	sphingosine 1-phosphate	Metabolite	1901	P21453	Membrane	sMOL-receptor interaction	Human	31805144	IUPHAR	LR08506	S1PR1
306	135651563	5283560.0	sphingosine 1-phosphate	Metabolite	9294	O95136	Membrane	sMOL-receptor interaction	Human	10446161;9988698	IUPHAR	LR08509	S1PR2
307	135651563	5283560.0	sphingosine 1-phosphate	Metabolite	286223	Q99500	Membrane	sMOL-receptor interaction	Human	10446161;9988698;17170199	IUPHAR	LR08510	S1PR3
308	135651563	5283560.0	sphingosine 1-phosphate	Metabolite	8698	O95977	Membrane	sMOL-receptor interaction	Human	12270137;11967257	IUPHAR	LR08513	S1PR4
309	135651563	5283560.0	sphingosine 1-phosphate	Metabolite	53637	Q9H228	Membrane	sMOL-receptor interaction	Human	11705398;17114004;11967257;14732717	IUPHAR	LR08514	S1PR5
310	340590260	444266.0	maleic acid	Synthetic organic	56670	Q9BXA5	Membrane	sMOL-receptor interaction	Human	28160606	IUPHAR	LR08515	SUCNR1
311	178100544	1110.0	succinic acid	Metabolite	56670	Q9BXA5	Membrane	sMOL-receptor interaction	Human	15141213;23396314	IUPHAR	LR08516	SUCNR1
312	135652016	1001.0	beta-phenylethylamine	Metabolite	134864	Q96RJ0	Membrane	sMOL-receptor interaction	Human	11459929;18524885;17038507;18602830;19725810;22073124	IUPHAR	LR08517	TAAR1
313	135651582	5610.0	tyramine	Metabolite	134864	Q96RJ0	Membrane	sMOL-receptor interaction	Human	11459929;18524885;17038507;19892733;19725810;22073124	IUPHAR	LR08518	TAAR1
314	135651539	5280360.0	PGE2	Metabolite	6915	P21731	Membrane	sMOL-receptor interaction	Human	10634944	IUPHAR	LR08519	TBXA2R
315	135651540	5280363.0	PGF2alpha	Metabolite	6915	P21731	Membrane	sMOL-receptor interaction	Human	10634944	IUPHAR	LR08520	TBXA2R
316	178102922	880.0	methylglyoxal	Metabolite	8989	O75762	Membrane	sMOL-receptor interaction	Human	22701540;22740698;22133672	IUPHAR	LR08521	TRPA1
317	178101107	105074.0	pregnenolone sulphate	Metabolite	4308	Q7Z4N2	Membrane	sMOL-receptor interaction	Human	21278253	IUPHAR	LR08522	TRPM1
318	135651544	5311358.0	PIP2	Metabolite	7226	O94759	Membrane	sMOL-receptor interaction	Human	22847436	IUPHAR	LR08523	TRPM2
319	135651429	30243.0	ADP ribose	Metabolite	7226	O94759	Membrane	sMOL-receptor interaction	Human	11385575	IUPHAR	LR08524	TRPM2
320	135651450	123847.0	cADPR	Metabolite	7226	O94759	Membrane	sMOL-receptor interaction	Human	16601673;15808509;16585058	IUPHAR	LR08525	TRPM2
321	135652736		H2O2	Inorganic	7226	O94759	Membrane	sMOL-receptor interaction	Human	15302683;12562896;11960981;14512294;11804595	IUPHAR	LR08526	TRPM2
322	53801022	123953.0	NAADP	Metabolite	7226	O94759	Membrane	sMOL-receptor interaction	Human	16585058	IUPHAR	LR08527	TRPM2
323	135651521	5892.0	NAD	Metabolite	7226	O94759	Membrane	sMOL-receptor interaction	Human	16601673;11509734;11804595;12564954	IUPHAR	LR08528	TRPM2
324	135651442	444899.0	arachidonic acid	Metabolite	7226	O94759	Membrane	sMOL-receptor interaction	Human	11804595	IUPHAR	LR08529	TRPM2
325	135651473	91486.0	dihydrosphingosine	Metabolite	80036	Q9HCF6	Membrane	sMOL-receptor interaction	Human	15550678	IUPHAR	LR08530	TRPM3
326	135650729	6438166.0	NN-dimethyl-D-erythrosphingosine	Metabolite	80036	Q9HCF6	Membrane	sMOL-receptor interaction	Human	15550678	IUPHAR	LR08531	TRPM3
327	53801018	5280335.0	sphingosine	Metabolite	80036	Q9HCF6	Membrane	sMOL-receptor interaction	Human	15550678	IUPHAR	LR08532	TRPM3
328	178101006	73755084.0	epipregnanolone sulphate	Metabolite	80036	Q9HCF6	Membrane	sMOL-receptor interaction	Human	20735426	IUPHAR	LR08533	TRPM3
329	178101107	105074.0	pregnenolone sulphate	Metabolite	80036	Q9HCF6	Membrane	sMOL-receptor interaction	Human	18978782	IUPHAR	LR08534	TRPM3
330	135652731		Ca2+	Inorganic	54795	Q8TD43	Membrane	sMOL-receptor interaction	Human	15590641;16424899;16407466;15331675	IUPHAR	LR08535	TRPM4
331	135651544	5311358.0	PIP2	Metabolite	54795	Q8TD43	Membrane	sMOL-receptor interaction	Human	16424899	IUPHAR	LR08536	TRPM4
332	135651446	5957.0	ATP	Metabolite	54795	Q8TD43	Membrane	sMOL-receptor interaction	Human	14758478	IUPHAR	LR08537	TRPM4
333	53801012	6083.0	adenosine 5'-monophosphate	Metabolite	54795	Q8TD43	Membrane	sMOL-receptor interaction	Human	14758478	IUPHAR	LR08538	TRPM4
334	135651427	6022.0	ADP	Metabolite	54795	Q8TD43	Membrane	sMOL-receptor interaction	Human	14758478	IUPHAR	LR08539	TRPM4
335	135652741		Mg2+	Inorganic	140803	Q9BX84	Membrane	sMOL-receptor interaction	Human	14576148	IUPHAR	LR08540	TRPM6
336	178100233	643961.0	phosphatidyl (3,5) inositol bisphosphate	Metabolite	57192	Q9GZU1	Membrane	sMOL-receptor interaction	Human	20802798	IUPHAR	LR08541	MCOLN1
337	135651438	5281969.0	anandamide	Metabolite	7442	Q8NER1	Membrane	sMOL-receptor interaction	Human	12761211	IUPHAR	LR08542	TRPV1
338	178100984		Cu2+	Inorganic	353174	Q401N2	Membrane	sMOL-receptor interaction	Human	26872532	IUPHAR	LR08544	ZACN
339	135652738		H+	Inorganic	353174	Q401N2	Membrane	sMOL-receptor interaction	Human	26872532	IUPHAR	LR08545	ZACN
340	135652747		Zn2+	Inorganic	353174	Q401N2	Membrane	sMOL-receptor interaction	Human	12381728;26872532	IUPHAR	LR08546	ZACN
